food_name,ingredient_name,gram,,,,,,
Cơm chiên dương châu,Gạo tẻ máy,250,,,,,,
Cơm chiên dương châu,Trứng gà,80,,,,,,
Cơm chiên dương châu,Xúc xích,60,,,,,,
Cơm chiên dương châu,Đậu hà lan,40,,,,,,
Cơm chiên dương châu,Dầu lạc,10,,,,,,
Mì Quảng,Mì sợi,200,,,,,,
Mì Quảng,Thịt gà ta,120,,,,,,
Mì Quảng,Tôm biển,80,,,,,,
Mì Quảng,Trứng gà,60,,,,,,
Mì Quảng,Lạc Hạt,30,,,,,,
Mì Quảng,Rau xà lách,40,,,,,,
Mì Quảng,Hành lá (hành hoa),10,,,,,,
Mì Quảng,Nước mắm cá ( loại I),10,,,,,,
Bánh canh cua,Bột gạo tẻ,200,,,,,,
Bánh canh cua,Cua bể,150,,,,,,
Bánh canh cua,Tôm biển,80,,,,,,
Bánh canh cua,Trứng chim cút,40,,,,,,
Bánh canh cua,Hành lá (hành hoa),10,,,,,,
Bánh canh cua,Nước mắm cá ( loại I),10,,,,,,
Bánh canh cua,Hạt tiêu,2,,,,,,
Bánh canh giò heo,Bột gạo tẻ,200,,,,,,
Bánh canh giò heo,Chân giò lợn,180,,,,,,
Bánh canh giò heo,Hành lá (hành hoa),10,,,,,,
Bánh canh giò heo,Hành tây,20,,,,,,
Bánh canh giò heo,Nước mắm cá ( loại I),10,,,,,,
Bánh canh giò heo,Hạt tiêu,2,,,,,,
Bánh canh cá lóc,Bột gạo tẻ,200,,,,,,
Bánh canh cá lóc,Cá quả,150,,,,,,
Bánh canh cá lóc,Hành lá (hành hoa),10,,,,,,
Bánh canh cá lóc,Hành tây,20,,,,,,
Bánh canh cá lóc,Nước mắm cá ( loại I),10,,,,,,
Bánh canh cá lóc,Hạt tiêu,2,,,,,,
Bún sườn,Bún,200,,,,,,
Bún sườn,Sườn lợn,150,,,,,,
Bún sườn,Cà chua,60,,,,,,
Bún sườn,Hành lá (hành hoa),10,,,,,,
Bún sườn,Nước mắm cá ( loại I),10,,,,,,
Bún sườn,Hạt tiêu,2,,,,,,
Bún gà,Bún,200,,,,,,
Bún gà,Thịt gà ta,150,,,,,,
Bún gà,Hành lá (hành hoa),10,,,,,,
Bún gà,Hành tây,20,,,,,,
Bún gà,Nước mắm cá ( loại I),10,,,,,,
Bún gà,Hạt tiêu,2,,,,,,
Bún vịt,Bún,200,,,,,,
Bún vịt,Thịt vịt,150,,,,,,
Bún vịt,Gừng tươi,5,,,,,,
Bún vịt,Hành lá (hành hoa),10,,,,,,
Bún vịt,Nước mắm cá ( loại I),10,,,,,,
Bún vịt,Hạt tiêu,2,,,,,,
Miến gà,Miến dong,180,,,,,,
Miến gà,Thịt gà ta,150,,,,,,
Miến gà,Nấm hương khô,30,,,,,,
Miến gà,Hành lá (hành hoa),10,,,,,,
Miến gà,Nước mắm cá ( loại I),10,,,,,,
Miến gà,Hạt tiêu,2,,,,,,
Cơm gà xối mỡ,Gạo tẻ máy,220,,,,,,
Cơm gà xối mỡ,Thịt gà ta,180,,,,,,
Cơm gà xối mỡ,Dưa chuột,50,,,,,,
Cơm gà xối mỡ,Cà chua,40,,,,,,
Cơm gà xối mỡ,Hành lá (hành hoa),10,,,,,,
Cơm gà xối mỡ,Nước mắm cá ( loại I),15,,,,,,
Cơm gà xối mỡ,Dầu lạc,20,,,,,,
Cơm chiên hải sản,Gạo tẻ máy,250,,,,,,
Cơm chiên hải sản,Tôm biển,80,,,,,,
Cơm chiên hải sản,Mực tươi,80,,,,,,
Cơm chiên hải sản,Trứng gà,70,,,,,,
Cơm chiên hải sản,Hành lá (hành hoa),10,,,,,,
Cơm chiên hải sản,Nước mắm cá ( loại I),10,,,,,,
Cơm chiên hải sản,Dầu lạc,15,,,,,,
Cơm chiên cá mặn,Gạo tẻ máy,250,,,,,,
Cơm chiên cá mặn,Trứng gà,70,,,,,,
Cơm chiên cá mặn,Hành lá (hành hoa),10,,,,,,
Cơm chiên cá mặn,Nước mắm cá ( loại I),10,,,,,,
Cơm chiên cá mặn,Dầu lạc,15,,,,,,
Cơm sườn nướng,Gạo tẻ máy,220,,,,,,
Cơm sườn nướng,Sườn lợn,180,,,,,,
Cơm sườn nướng,Dưa chuột,50,,,,,,
Cơm sườn nướng,Cà chua,40,,,,,,
Cơm sườn nướng,Nước mắm cá ( loại I),15,,,,,,
Cơm sườn nướng,Đường cát,10,,,,,,
Cơm sườn nướng,Hạt tiêu,3,,,,,,
Cơm sườn bì chả,Gạo tẻ máy,220,,,,,,
Cơm sườn bì chả,Sườn lợn,150,,,,,,
Cơm sườn bì chả,Bì lợn,80,,,,,,
Cơm sườn bì chả,Chả lợn,80,,,,,,
Cơm sườn bì chả,Dưa chuột,40,,,,,,
Cơm sườn bì chả,Nước mắm cá ( loại I),15,,,,,,
Cơm sườn bì chả,Đường cát,5,,,,,,
Cơm rang trứng,Gạo tẻ máy,250,,,,,,
Cơm rang trứng,Trứng gà,120,,,,,,
Cơm rang trứng,Hành lá (hành hoa),10,,,,,,
Cơm rang trứng,Nước mắm cá ( loại I),10,,,,,,
Cơm rang trứng,Dầu lạc,15,,,,,,
Cơm rang thập cẩm,Gạo tẻ máy,250,,,,,,
Cơm rang thập cẩm,Trứng gà,70,,,,,,
Cơm rang thập cẩm,Thịt lợn nạc,80,,,,,,
Cơm rang thập cẩm,Tôm biển,60,,,,,,
Cơm rang thập cẩm,Đậu hà lan,40,,,,,,
Cơm rang thập cẩm,Hành lá (hành hoa),10,,,,,,
Cơm rang thập cẩm,Nước mắm cá ( loại I),10,,,,,,
Cơm rang thập cẩm,Dầu lạc,15,,,,,,
Bánh mì thịt,Bánh mì,120,,,,,,
Bánh mì thịt,Thịt lợn nạc,100,,,,,,
Bánh mì thịt,Dưa chuột,40,,,,,,
Bánh mì thịt,Rau mùi,10,,,,,,
Bánh mì thịt,Sốt mayonnsaise,20,,,,,,
Bánh mì trứng,Bánh mì,120,,,,,,
Bánh mì trứng,Trứng gà,100,,,,,,
Bánh mì trứng,Bơ,10,,,,,,
Bánh mì trứng,Rau mùi,10,,,,,,
Bánh mì pate,Bánh mì,120,,,,,,
Bánh mì pate,Ba tê,80,,,,,,
Bánh mì pate,Dưa chuột,40,,,,,,
Bánh mì pate,Rau mùi,10,,,,,,
Gỏi cuốn,Bánh đa nem,60,,,,,,
Gỏi cuốn,Bún,80,,,,,,
Gỏi cuốn,Tôm biển,80,,,,,,
Gỏi cuốn,Rau xà lách,40,,,,,,
Gỏi cuốn,Hẹ lá,10,,,,,,
Bánh mì heo quay,Bánh mì ,120,,,,,,
Bánh mì heo quay,"Thịt lợn nửa nạc, nửa mỡ",150,,,,,,
Bánh mì heo quay,Dưa chuột,40,,,,,,
Bánh mì heo quay,Rau mùi,10,,,,,,
Bánh mì heo quay,Nước mắm cá ( loại I),10,,,,,,
Bánh mì heo quay,Ớt đỏ to,5,,,,,,
Bánh mì xíu mại,"Thịt lợn nửa nạc, nửa mỡ",,,,,,,
Bánh mì xíu mại,Bánh mì,120,,,,,,
Bánh mì xíu mại,Cà chua,40,,,,,,
Bánh mì xíu mại,Hành lá (hành hoa),10,,,,,,
Bánh mì xíu mại,Nước mắm cá ( loại I),10,,,,,,
Bánh mì xíu mại,Hạt tiêu,2,,,,,,
Bánh mì bò,Bánh mì,120,,,,,,
Bánh mì bò,Thịt bò loại I,140,,,,,,
Bánh mì bò,Hành tây,40,,,,,,
Bánh mì bò,Rau mùi,10,,,,,,
Bánh mì bò,Nước mắm cá ( loại I),10,,,,,,
Bánh mì bò,Hạt tiêu,2,,,,,,
Bánh mì gà,Bánh mì,120,,,,,,
Bánh mì gà,Thịt gà ta,140,,,,,,
Bánh mì gà,Dưa chuột,40,,,,,,
Bánh mì gà,Rau mùi,10,,,,,,
Bánh mì gà,Nước mắm cá ( loại I),10,,,,,,
Bánh mì gà,Hạt tiêu,2,,,,,,
Bánh mì cá,Bánh mì,120,,,,,,
Bánh mì cá,Cá thu,140,,,,,,
Bánh mì cá,Dưa chuột,40,,,,,,
Bánh mì cá,Rau mùi,10,,,,,,
Bánh mì cá,Nước mắm cá ( loại I),10,,,,,,
Bánh mì cá,Ớt đỏ to,5,,,,,,
Bánh mì chả,Bánh mì,120,,,,,,
Bánh mì chả,Chả lợn,140,,,,,,
Bánh mì chả,Dưa chuột,40,,,,,,
Bánh mì chả,Rau mùi,10,,,,,,
Bánh mì chả,Nước mắm cá ( loại I),10,,,,,,
Bánh mì chả,Ớt đỏ to,5,,,,,,
Chả giò,Bánh tráng,50,,,,,,
Chả giò,Thịt lợn nạc,120,,,,,,
Chả giò,Mộc nhĩ,20,,,,,,
Chả giò,Miến dong,40,,,,,,
Chả giò,Trứng gà,60,,,,,,
Chả giò,Hành củ tươi,15,,,,,,
Chả giò,Dầu lạc,20,,,,,,
Bánh xèo,Bột gạo tẻ,150,,,,,,
Bánh xèo,Tôm biển,80,,,,,,
Bánh xèo,"Thịt lợn nửa nạc, nửa mỡ",100,,,,,,
Bánh xèo,Giá đậu xanh,80,,,,,,
Bánh xèo,Hành lá (hành hoa),10,,,,,,
Bánh xèo,Nước mắm cá ( loại I),20,,,,,,
Bánh xèo,Dầu lạc,20,,,,,,
Bánh khọt,Bột gạo tẻ,150,,,,,,
Bánh khọt,Tôm biển,80,,,,,,
Bánh khọt,Hành lá (hành hoa),10,,,,,,
Bánh khọt,Nước mắm cá ( loại I),20,,,,,,
Bánh khọt,Rau xà lách,40,,,,,,
Bánh khọt,Rau thơm,20,,,,,,
Bánh khọt,Dầu lạc,20,,,,,,
Bánh bèo,Bột gạo tẻ,150,,,,,,
Bánh bèo,Tôm khô,40,,,,,,
Bánh bèo,Nước mắm cá ( loại I),20,,,,,,
Bánh bèo,Hành lá (hành hoa),10,,,,,,
Bánh nậm,Bột gạo tẻ,150,,,,,,
Bánh nậm,Tôm biển,80,,,,,,
Bánh nậm,Thịt lợn nạc,80,,,,,,
Bánh nậm,Hành lá (hành hoa),10,,,,,,
Bánh nậm,Nước mắm cá ( loại I),20,,,,,,
Bánh bột lọc,Bột mì,150,,,,,,
Bánh bột lọc,Tôm biển,80,,,,,,0
Bánh bột lọc,"Thịt lợn nửa nạc, nửa mỡ",80,,,,,,
Bánh bột lọc,Nước mắm cá ( loại I),20,,,,,,
Bánh ướt,Bột gạo tẻ,200,,,,,,
Bánh ướt,Chả lợn,120,,,,,,
Bánh ướt,Rau mùi,10,,,,,,
Bánh ướt,Nước mắm cá ( loại I),20,,,,,,
Bánh cuốn,Bột gạo tẻ,200,,,,,,
Bánh cuốn,"Thịt lợn nửa nạc, nửa mỡ",120,,,,,,
Bánh cuốn,Mộc nhĩ,30,,,,,,
Bánh cuốn,Nước mắm cá ( loại I),20,,,,,,
Canh chua cá,Cá quả,200,,,,,,
Canh chua cá,Cà chua,80,,,,,,
Canh chua cá,Dứa tây,80,,,,,,
Canh chua cá,Giá đậu xanh,60,,,,,,
Canh chua cá,Hành lá (hành hoa),10,,,,,,
Canh chua cá,Rau mùi tàu,10,,,,,,
Canh chua cá,Nước mắm cá ( loại I),15,,,,,,
Canh khổ qua nhồi thịt,Mướp đắng,200,,,,,,
Canh khổ qua nhồi thịt,Thịt lợn nạc,120,,,,,,
Canh khổ qua nhồi thịt,Mộc nhĩ,20,,,,,,
Canh khổ qua nhồi thịt,Hành lá (hành hoa),10,,,,,,
Canh khổ qua nhồi thịt,Nước mắm cá ( loại I),10,,,,,,
Canh khổ qua nhồi thịt,Hạt tiêu,2,,,,,,
Canh bí đỏ,Bí đỏ,250,,,,,,
Canh bí đỏ,Tôm biển,80,,,,,,
Canh bí đỏ,Hành lá (hành hoa),10,,,,,,
Canh bí đỏ,Nước mắm cá ( loại I),10,,,,,,
Canh rau ngót,Rau ngót,200,,,,,,
Canh rau ngót,"Thịt lợn nửa nạc, nửa mỡ",100,,,,,,
Canh rau ngót,Hành lá (hành hoa),10,,,,,,
Canh rau ngót,Nước mắm cá ( loại I),10,,,,,,
Canh cải xanh,Cải xanh,200,,,,,,
Canh cải xanh,"Thịt lợn nửa nạc, nửa mỡ",100,,,,,,
Canh cải xanh,Gừng tươi,5,,,,,,
Canh cải xanh,Nước mắm cá ( loại I),10,,,,,,
Canh chua tôm,Tôm biển,150,,,,,,
Canh chua tôm,Cà chua,80,,,,,,
Canh chua tôm,Dứa tây,80,,,,,,
Canh chua tôm,Đậu bắp,60,,,,,,
Canh cua rau đay,Cua đồng,200,,,,,,
Canh cua rau đay,Rau đay,150,,,,,,
Canh cua rau đay,Rau mồng tơi,100,,,,,,
Canh cua rau đay,Mướp,100,,,,,,
Canh cá lóc,Cá quả,200,,,,,,
Canh cá lóc,Thìa là,10,,,,,,
Canh cá lóc,Hành lá (hành hoa),10,,,,,,
Canh cá lóc,Gừng tươi,5,,,,,,
Canh bầu nấu tôm,Bầu,250,,,,,,
Canh bầu nấu tôm,Tôm biển,100,,,,,,
Canh bầu nấu tôm,Hành lá (hành hoa),10,,,,,,
Canh bầu nấu tôm,Nước mắm cá ( loại I),10,,,,,,
Canh rong biển,Rong biển khô,30,,,,,,
Canh rong biển,Thịt bò loại I,100,,,,,,
Canh rong biển,Đậu phụ,120,,,,,,
Canh rong biển,Hành lá (hành hoa),10,,,,,,
Canh rong biển,Nước mắm cá ( loại I),10,,,,,,
Thịt kho tàu,"Thịt lợn nửa nạc, nửa mỡ",250,,,,,,
Thịt kho tàu,Trứng gà,120,,,,,,
Thịt kho tàu,Nước mắm cá ( loại I),20,,,,,,
Thịt kho tàu,Đường cát,15,,,,,,
Thịt kho tàu,Hành củ tươi,20,,,,,,
Cá kho tộ,Cá quả,250,,,,,,
Cá kho tộ,Nước mắm cá ( loại I),20,,,,,,
Cá kho tộ,Đường cát,10,,,,,,
Cá kho tộ,Hành củ tươi,20,,,,,,
Cá kho tộ,Hạt tiêu,3,,,,,,
Cá kho riềng,Cá trắm cỏ,250,,,,,,
Cá kho riềng,Riềng,30,,,,,,
Cá kho riềng,Nước mắm cá ( loại I),20,,,,,,
Cá kho riềng,Đường cát,10,,,,,,
Cá kho riềng,Hạt tiêu,3,,,,,,
Cá chiên,Cá thu,200,,,,,,
Cá chiên,Dầu lạc,20,,,,,,
Cá chiên,Nước mắm cá ( loại I),10,,,,,,
Cá chiên,Hạt tiêu,2,,,,,,
Gà kho gừng,Thịt gà ta,250,,,,,,
Gà kho gừng,Gừng tươi,30,,,,,,
Gà kho gừng,Nước mắm cá ( loại I),20,,,,,,
Gà kho gừng,Đường cát,10,,,,,,
Gà chiên nước mắm,Thịt gà ta,250,,,,,,
Gà chiên nước mắm,Nước mắm cá ( loại I),25,,,,,,
Gà chiên nước mắm,Đường cát,15,,,,,,
Gà chiên nước mắm,Dầu lạc,20,,,,,,
Gà chiên nước mắm,Tỏi ta,10,,,,,,
Gà nướng,Thịt gà ta,250,,,,,,
Gà nướng,Nước mắm cá ( loại I),20,,,,,,
Gà nướng,Đường cát,10,,,,,,
Gà nướng,Hạt tiêu,3,,,,,,
Sườn nướng,Sườn lợn,250,,,,,,
Sườn nướng,Nước mắm cá ( loại I),20,,,,,,
Sườn nướng,Đường cát,10,,,,,,
Sườn nướng,Hạt tiêu,3,,,,,,
Thịt rang cháy cạnh,"Thịt lợn nửa nạc, nửa mỡ",250,,,,,,
Thịt rang cháy cạnh,Nước mắm cá ( loại I),15,,,,,,
Thịt rang cháy cạnh,Hành củ tươi,20,,,,,,
Thịt rang cháy cạnh,Hạt tiêu,3,,,,,,
Thịt luộc,"Thịt lợn nửa nạc, nửa mỡ",250,,,,,,
Thịt luộc,Hành lá (hành hoa),10,,,,,,
Thịt luộc,Nước mắm cá ( loại I),15,,,,,,
Rau muống xào tỏi,Rau muống,250,,,,,,
Rau muống xào tỏi,Tỏi ta,15,,,,,,
Rau muống xào tỏi,Dầu lạc,20,,,,,,
Rau muống xào tỏi,Nước mắm cá ( loại I),10,,,,,,
Cải thìa xào,Cải thìa,250,,,,,,
Cải thìa xào,Tỏi ta,10,,,,,,
Cải thìa xào,Dầu lạc,20,,,,,,
Cải thìa xào,Nước mắm cá ( loại I),10,,,,,,
Bắp cải xào,Cải bắp,250,,,,,,
Bắp cải xào,Tỏi ta,10,,,,,,
Bắp cải xào,Dầu lạc,20,,,,,,
Bắp cải xào,Nước mắm cá ( loại I),10,,,,,,
Rau lang luộc,Rau khoai lang,250,,,,,,
Rau lang luộc,Nước mắm cá ( loại I),15,,,,,,
Rau muống luộc,Rau muống,250,,,,,,
Rau muống luộc,Nước mắm cá ( loại I),15,,,,,,
Đậu hũ chiên,Đậu phụ,200,,,,,,
Đậu hũ chiên,Dầu lạc,20,,,,,,
Đậu hũ chiên,Nước mắm cá ( loại I),10,,,,,,
Đậu hũ sốt cà chua,Đậu phụ,200,,,,,,
Đậu hũ sốt cà chua,Cà chua,120,,,,,,
Đậu hũ sốt cà chua,Hành lá (hành hoa),10,,,,,,
Đậu hũ sốt cà chua,Nước mắm cá ( loại I),10,,,,,,
Đậu hũ kho,Đậu phụ,200,,,,,,
Đậu hũ kho,Nước mắm cá ( loại I),15,,,,,,
Đậu hũ kho,Đường cát,10,,,,,,
Đậu hũ kho,Hành củ tươi,10,,,,,,
Chả đậu,Đậu phụ,200,,,,,,
Chả đậu,"Thịt lợn nửa nạc, nửa mỡ",100,,,,,,
Chả đậu,Hành lá (hành hoa),10,,,,,,
Chả đậu,Dầu lạc,20,,,,,,
Canh đậu hũ,Đậu phụ,200,,,,,,
Canh đậu hũ,Cà chua,100,,,,,,
Canh đậu hũ,Hành lá (hành hoa),10,,,,,,
Canh đậu hũ,Nước mắm cá ( loại I),10,,,,,,
Chè đậu xanh,Đậu xanh,200,,,,,,
Chè đậu xanh,Đường cát,80,,,,,,
Chè đậu đen,Đậu đen,200,,,,,,
Chè đậu đen,Đường cát,80,,,,,,
Chè đậu đen,Nước cốt dừa,80,,,,,,
Chè ba màu,đậu đen,100,,,,,,
Chè ba màu,Đậu xanh,100,,,,,,
Chè ba màu,Thạch rau câu,80,,,,,,
Chè ba màu,Nước cốt dừa,80,,,,,,
Chè ba màu,Đường cát,80,,,,,,
Chè bắp,Ngô bắp tươi,200,,,,,,
Chè bắp,Nước cốt dừa,80,,,,,,
Chè bắp,Đường cát,80,,,,,,
Chè trôi nước,Bột gạo nếp,200,,,,,,
Chè trôi nước,Đậu xanh,120,,,,,,
Chè trôi nước,Đường cát,100,,,,,,
Chè trôi nước,Gừng tươi,20,,,,,,
Bánh flan,Trứng gà,150,,,,,,
Bánh flan,Sữa đặc có đường Việt Nam,120,,,,,,
Bánh flan,Đường cát,60,,,,,,
Chuối chiên,Chuối tây,200,,,,,,
Chuối chiên,Bột mì,100,,,,,,
Chuối chiên,Đường cát,40,,,,,,
Chuối chiên,Dầu lạc,20,,,,,,
Bánh chuối,Chuối tây,200,,,,,,
Bánh chuối,Bột mì,120,,,,,,
Bánh chuối,Đường cát,60,,,,,,
Bánh chuối,Sữa tươi,80,,,,,,
Xôi gấc,Gạo nếp cái,250,,,,,,
Xôi gấc,Gấc,80,,,,,,
Xôi gấc,Đường cát,40,,,,,,
Xôi đậu xanh,Gạo nếp  cái,250,,,,,,
Xôi đậu xanh,Đậu xanh,120,,,,,,
Xôi đậu xanh,Đường cát,30,,,,,,
Xôi mặn,Gạo nếp cái,250,,,,,,
Xôi mặn,Thịt lợn nạc,120,,,,,,
Xôi mặn,Giò lụa,80,,,,,,
Xôi lá dứa,Gạo nếp cái,250,,,,,,
Xôi lá dứa,Đường cát,40,,,,,,
Xôi bắp,Gạo nếp cái,250,,,,,,
Xôi bắp,Bắp ngô,120,,,,,,
Xôi bắp,Đường cát,40,,,,,,
Xôi vò,Gạo nếp cái,250,,,,,,
Xôi vò,Đậu xanh,120,,,,,,
Xôi vò,Đường cát,40,,,,,,
Xôi đậu đen,Gạo nếp cái,250,,,,,,
Xôi đậu đen,Đậu đen,120,,,,,,
Xôi đậu đen,Đường cát,40,,,,,,
Xôi đậu phộng,Gạo nếp cái,250,,,,,,
Xôi đậu phộng,Lạc Hạt,120,,,,,,
Xôi đậu phộng,Muối,5,,,,,,
Xôi gà,Gạo nếp cái,250,,,,,,
Xôi gà,Thịt gà ta,150,,,,,,
Xôi thịt,Gạo nếp cái,250,,,,,,
Xôi thịt,Thịt lợn nạc,150,,,,,,
Xôi chả,Gạo nếp cái,250,,,,,,
Xôi chả,Giò lụa,120,,,,,,
